Threads,Affinity,Program,Run,Time
6,0-1-2-3-4-5,false_sharing,1,0.950896
6,0-1-2-3-4-5,false_sharing,2,0.955758
6,0-1-2-3-4-5,false_sharing,3,0.944802
6,0-1-2-3-4-5,false_sharing,4,0.948909
6,0-1-2-3-4-5,false_sharing,5,0.947954
6,0-1-2-3-4-5,false_sharing,6,0.951570
6,0-1-2-3-4-5,false_sharing,7,0.951519
6,0-1-2-3-4-5,false_sharing,8,0.953486
6,0-1-2-3-4-5,false_sharing,9,0.948597
6,0-1-2-3-4-5,false_sharing,10,0.950663
6,0-1-2-3-4-5,no_false_sharing,1,0.239778
6,0-1-2-3-4-5,no_false_sharing,2,0.240032
6,0-1-2-3-4-5,no_false_sharing,3,0.240019
6,0-1-2-3-4-5,no_false_sharing,4,0.240510
6,0-1-2-3-4-5,no_false_sharing,5,0.240353
6,0-1-2-3-4-5,no_false_sharing,6,0.240681
6,0-1-2-3-4-5,no_false_sharing,7,0.240272
6,0-1-2-3-4-5,no_false_sharing,8,0.240410
6,0-1-2-3-4-5,no_false_sharing,9,0.240015
6,0-1-2-3-4-5,no_false_sharing,10,0.241695
6,0-1-2-6-7-8,false_sharing,1,1.506133
6,0-1-2-6-7-8,false_sharing,2,1.509466
6,0-1-2-6-7-8,false_sharing,3,1.506639
6,0-1-2-6-7-8,false_sharing,4,1.503831
6,0-1-2-6-7-8,false_sharing,5,1.506450
6,0-1-2-6-7-8,false_sharing,6,1.506396
6,0-1-2-6-7-8,false_sharing,7,1.507167
6,0-1-2-6-7-8,false_sharing,8,1.513504
6,0-1-2-6-7-8,false_sharing,9,1.506094
6,0-1-2-6-7-8,false_sharing,10,1.510522
6,0-1-2-6-7-8,no_false_sharing,1,0.243040
6,0-1-2-6-7-8,no_false_sharing,2,0.240051
6,0-1-2-6-7-8,no_false_sharing,3,0.242549
6,0-1-2-6-7-8,no_false_sharing,4,0.241287
6,0-1-2-6-7-8,no_false_sharing,5,0.241894
6,0-1-2-6-7-8,no_false_sharing,6,0.242411
6,0-1-2-6-7-8,no_false_sharing,7,0.242423
6,0-1-2-6-7-8,no_false_sharing,8,0.242458
6,0-1-2-6-7-8,no_false_sharing,9,0.242565
6,0-1-2-6-7-8,no_false_sharing,10,0.243499
